c,h,l,n,o,t,v,vw
59757.19,59757.19,59757.19,0,59757.19,2024-05-01T02:10:00Z,0.0,0.0
59721.15,59795.181,59721.15,0,59795.181,2024-05-01T02:11:00Z,0.0,0.0
59656.395,59702.718,59651.231,0,59693.75,2024-05-01T02:12:00Z,0.0,0.0
59629.1,59629.1,59629.1,0,59629.1,2024-05-01T02:13:00Z,0.0,0.0
59616.7615,59655.378,59616.7615,0,59655.378,2024-05-01T02:14:00Z,0.0,0.0
59722.0,59722.0,59639.66,0,59639.66,2024-05-01T02:15:00Z,0.0,0.0
59777.885,59777.885,59742.124,0,59742.124,2024-05-01T02:16:00Z,0.0,0.0
59838.355,59838.355,59817.315,0,59817.315,2024-05-01T02:17:00Z,0.0,0.0
59845.0875,59845.0875,59798.503,0,59798.503,2024-05-01T02:18:00Z,0.0,0.0
59811.635,59811.635,59811.635,0,59811.635,2024-05-01T02:19:00Z,0.0,0.0
59711.15,59771.441,59711.15,0,59771.441,2024-05-01T02:20:00Z,0.0,0.0
59688.2,59688.2,59688.2,0,59688.2,2024-05-01T02:21:00Z,0.0,0.0
59627.586,59650.0685,59627.586,0,59650.0685,2024-05-01T02:23:00Z,0.0,0.0
59760.1,59760.1,59648.02,0,59648.02,2024-05-01T02:24:00Z,0.0,0.0
59764.882,59764.882,59747.35,0,59747.35,2024-05-01T02:25:00Z,0.0,0.0
59801.7,59801.7,59801.7,0,59801.7,2024-05-01T02:26:00Z,0.0,0.0
59752.95,59780.368,59702.05,0,59780.368,2024-05-01T02:27:00Z,0.0,0.0
59799.4045,59828.9445,59768.1035,0,59768.1035,2024-05-01T02:30:00Z,0.0,0.0
59784.819,59784.819,59784.819,0,59784.819,2024-05-01T02:31:00Z,0.0,0.0
59803.526,59803.526,59803.526,0,59803.526,2024-05-01T02:32:00Z,0.0,0.0
59781.474,59781.474,59781.474,0,59781.474,2024-05-01T02:33:00Z,0.0,0.0
59699.5185,59741.4105,59699.5185,0,59741.4105,2024-05-01T02:34:00Z,0.0,0.0
59739.78,59739.78,59666.307,0,59666.307,2024-05-01T02:36:00Z,0.0,0.0
59784.332,59784.332,59784.332,0,59784.332,2024-05-01T02:37:00Z,0.0,0.0
59817.6045,59817.6045,59817.6045,0,59817.6045,2024-05-01T02:38:00Z,0.0,0.0
59819.05,59819.05,59819.05,0,59819.05,2024-05-01T02:39:00Z,0.0,0.0
59849.813,59849.813,59849.813,0,59849.813,2024-05-01T02:40:00Z,0.0,0.0
59942.615,59942.615,59887.52,0,59887.52,2024-05-01T02:41:00Z,0.0,0.0
59904.025,59904.025,59904.025,0,59904.025,2024-05-01T02:43:00Z,0.0,0.0
59823.905,59891.2655,59823.905,0,59891.2655,2024-05-01T02:44:00Z,0.0,0.0
59849.9925,59849.9925,59849.9925,0,59849.9925,2024-05-01T02:45:00Z,0.0,0.0
59888.35,59888.35,59888.35,0,59888.35,2024-05-01T02:46:00Z,0.0,0.0
