,open_time,open,close,high,low,close.1,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,rsi_val
15,1503008100000,4325.24,4325.24,4325.24,4325.24,0.051213,1503008159999,221.50851612,1,0.051213,221.50851612,0,neutral
16,1503008160000,4311.34,4311.34,4311.34,4311.34,0.272819,1503008219999,1176.21546746,1,0.272819,1176.21546746,0,neutral
17,1503008220000,4310.67,4311.34,4310.0,4310.0,8.630075,1503008279999,37198.43519444,13,3.87062,16685.09107608,0,neutral
18,1503008280000,4325.24,4325.24,4312.34,4312.34,0.339436,1503008339999,1467.77190884,6,0.339436,1467.77190884,0,neutral
19,1503008340000,4312.34,4312.34,4312.34,4312.34,0.580303,1503008399999,2502.46383902,3,0.580303,2502.46383902,0,neutral
20,1503008400000,4312.34,4312.34,4312.34,4312.34,0.879932,1503008459999,3794.56596088,6,0.879932,3794.56596088,0,neutral
21,1503008460000,4312.34,4312.34,4312.34,4312.34,0.031592,1503008519999,136.23544528,2,0.031592,136.23544528,0,neutral
22,1503008520000,4312.34,4312.34,4312.34,4312.34,0.0,1503008579999,0.0,0,0.0,0.0,0,neutral
23,1503008580000,4312.34,4312.34,4312.34,4312.34,0.038336,1503008639999,165.31786624,2,0.038336,165.31786624,0,neutral
24,1503008640000,4312.34,4312.34,4312.34,4312.34,1.421165,1503008699999,6128.5466761,10,1.421165,6128.5466761,0,neutral
25,1503008700000,4310.0,4312.34,4310.0,4312.34,1.228109,1503008759999,5294.89100506,10,0.744109,3208.85100506,0,neutral
26,1503008760000,4312.34,4312.34,4310.0,4310.0,0.864552,1503008819999,3728.14389168,11,0.39505,1703.589917,0,neutral
27,1503008820000,4312.34,4312.34,4312.34,4312.34,0.10731,1503008879999,462.7572054,2,0.10731,462.7572054,0,neutral
28,1503008880000,4312.34,4312.34,4312.34,4312.34,0.00908,1503008939999,39.1560472,1,0.00908,39.1560472,0,neutral
29,1503008940000,4312.34,4326.29,4312.34,4326.29,0.506657,1503008999999,2187.63493918,6,0.197684,855.23831236,0,neutral
30,1503009000000,4326.29,4326.29,4326.29,4326.29,0.0,1503009059999,0.0,0,0.0,0.0,0,neutral
31,1503009060000,4326.28,4326.29,4326.28,4326.28,0.760802,1503009119999,3291.44323054,8,0.749802,3243.85415054,0,neutral
32,1503009120000,4326.28,4326.29,4326.28,4326.29,0.217272,1503009179999,939.98004892,6,0.054076,233.94845804,0,neutral
33,1503009180000,4326.29,4326.29,4326.29,4326.29,0.051,1503009239999,220.64079,1,0.051,220.64079,0,neutral
34,1503009240000,4326.29,4326.29,4326.29,4326.29,0.673434,1503009299999,2913.47077986,4,0.673434,2913.47077986,0,neutral
35,1503009300000,4326.29,4328.24,4326.29,4328.24,0.964126,1503009359999,4171.23503369,6,0.653511,2827.42446534,0,neutral
36,1503009360000,4328.24,4328.24,4328.24,4328.24,0.41575,1503009419999,1799.46578,2,0.41575,1799.46578,0,neutral
37,1503009420000,4319.11,4328.24,4319.11,4328.24,4.187376,1503009479999,18089.56479658,3,4.187376,18089.56479658,0,neutral
38,1503009480000,4328.24,4341.96,4328.24,4341.96,3.866487,1503009539999,16747.4317066,7,0.900001,3907.76834196,0,good
39,1503009540000,4341.96,4341.96,4341.96,4341.96,0.602163,1503009599999,2614.56765948,1,0.0,0.0,0,good
40,1503009600000,4348.62,4348.62,4348.62,4348.62,1.049801,1503009659999,4565.18562462,3,1.049801,4565.18562462,0,good
