open_time,open,close,high,low,close,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1745309940000,88651.10000000,88651.11000000,88544.15000000,88544.15000000,25.95554000,1745309999999,2299806.46519420,1950,1.17487000,104039.55124750,0
1745310000000,88544.15000000,88544.16000000,88480.28000000,88480.29000000,13.90097000,1745310059999,1230407.28786970,1218,3.43230000,303766.66679600,0
1745310060000,88480.29000000,88487.18000000,88468.42000000,88471.91000000,4.77303000,1745310119999,422307.14714480,1096,2.22974000,197282.37523110,0
1745310120000,88471.91000000,88478.27000000,88428.50000000,88453.27000000,15.25289000,1745310179999,1349062.59790410,1908,5.69165000,503374.49513900,0
1745310180000,88453.27000000,88460.69000000,88388.00000000,88388.01000000,20.92120000,1745310239999,1849916.51785620,1529,2.09746000,185468.07334840,0
1745310240000,88388.00000000,88447.11000000,88388.00000000,88447.10000000,7.91897000,1745310299999,700154.64207210,865,6.13941000,542770.10098910,0
1745310300000,88447.10000000,88447.12000000,88413.70000000,88413.70000000,7.41247000,1745310359999,655536.87698470,714,1.33996000,118507.19956090,0
1745310360000,88413.70000000,88413.71000000,88390.60000000,88409.94000000,6.11937000,1745310419999,540968.25883260,825,2.88861000,255349.40041130,0
1745310420000,88409.94000000,88413.29000000,88394.46000000,88394.47000000,2.99870000,1745310479999,265111.19525040,474,0.80877000,71504.32987930,0
1745310480000,88394.46000000,88417.13000000,88394.46000000,88413.61000000,6.27846000,1745310539999,555052.15910380,773,4.00690000,354223.98975330,0
1745310540000,88413.60000000,88413.61000000,88403.85000000,88403.85000000,2.36694000,1745310599999,209258.34399220,306,1.05509000,93279.92628730,0
1745310600000,88403.85000000,88409.61000000,88403.85000000,88409.27000000,3.80269000,1745310659999,336190.31481260,384,1.09777000,97050.11952600,0
1745310660000,88409.28000000,88409.28000000,88409.27000000,88409.27000000,2.77885000,1745310719999,245676.10518010,248,0.52406000,46331.76727680,0
1745310720000,88409.28000000,88442.90000000,88394.24000000,88394.25000000,20.23716000,1745310779999,1789381.58627430,1395,10.11291000,894190.21971030,0
1745310780000,88394.24000000,88394.25000000,88345.76000000,88381.67000000,15.65920000,1745310839999,1383777.87047830,1348,10.24913000,905675.72182880,0
1745310840000,88381.67000000,88431.57000000,88371.41000000,88431.57000000,13.81051000,1745310899999,1220683.79939370,1083,6.81771000,602623.56560320,0
1745310900000,88431.56000000,88471.23000000,88431.56000000,88453.45000000,8.28862000,1745310959999,733162.48176200,953,5.47915000,484651.14945440,0
1745310960000,88453.45000000,88466.40000000,88453.44000000,88466.39000000,4.37767000,1745311019999,387256.05380640,348,3.37002000,298113.10202390,0
1745311020000,88466.40000000,88466.40000000,88440.33000000,88449.21000000,18.09129000,1745311079999,1600314.63207070,649,2.45639000,217257.89395370,0
1745311080000,88449.21000000,88498.27000000,88449.21000000,88457.39000000,35.02728000,1745311139999,3098829.20593010,1254,22.01221000,1947341.12400400,0
